    74/299     4.76G   0.03249   0.01949  0.001911   0.05389        14       640    0.9116    0.8434    0.9109     0.528   0.04433   0.02696   0.01295
    75/299     4.76G    0.0321   0.01928  0.001859   0.05324        12       640    0.9439    0.8143    0.9098    0.5192   0.04397   0.02721   0.01301
    76/299     4.76G   0.03215   0.01929  0.001966   0.05341        66       640    0.9015    0.8719    0.9245    0.5248   0.04386   0.02703   0.01315
    77/299     4.76G   0.03217   0.01922  0.001822   0.05321        10       640    0.9147    0.8524    0.9134    0.5217   0.04383   0.02716   0.01328
    78/299     4.76G   0.03236   0.01925  0.002006   0.05362         9       640     0.929    0.8351    0.9109    0.5238   0.04374   0.02723   0.01329
    79/299     4.76G   0.03226   0.01908   0.00203   0.05337        24       640    0.9121    0.8302    0.8988    0.5176    0.0438   0.02754   0.01282
    80/299     4.76G   0.03196   0.01936  0.001841   0.05316        11       640    0.8948    0.8445    0.9115    0.5339   0.04313   0.02735   0.01233
    81/299     4.76G   0.03201   0.01913  0.001872   0.05301        44       640    0.9012    0.8471    0.9155    0.5338   0.04325    0.0273   0.01249
    82/299     4.76G    0.0321   0.01935  0.001835   0.05328        36       640    0.8935    0.8447    0.9097    0.5256   0.04362   0.02755    0.0127
    83/299     4.76G   0.03193   0.01913  0.001795   0.05286        38       640    0.9041    0.8336    0.9106    0.5245   0.04379   0.02767   0.01276
    84/299     4.76G   0.03178   0.01901  0.001788   0.05257        47       640    0.9153     0.837    0.9161     0.529   0.04281   0.02755    0.0125
    85/299     4.76G   0.03179   0.01907  0.001833   0.05269        59       640     0.913    0.8341    0.9132     0.526   0.04278   0.02751    0.0126
    86/299     4.76G   0.03169   0.01897  0.001815   0.05247        13       640      0.89    0.8522    0.9057    0.5186   0.04323   0.02759    0.0126
    87/299     4.76G   0.03174    0.0188  0.001841   0.05238        41       640    0.9137     0.834    0.9025     0.516   0.04342   0.02783   0.01252
    88/299     4.76G   0.03177   0.01893  0.001761   0.05245        19       640    0.9142    0.8381     0.911    0.5232   0.04295   0.02804   0.01297
    89/299     4.76G   0.03154    0.0187  0.001695   0.05194         5       640    0.9158    0.8398    0.9121    0.5192   0.04239    0.0279   0.01304
    90/299     4.76G   0.03153   0.01888  0.001814   0.05222        15       640    0.9116    0.8614    0.9171    0.5251   0.04211   0.02795    0.0128
    91/299     4.76G   0.03138   0.01881  0.001757   0.05195        28       640    0.9137    0.8536    0.9234    0.5302   0.04222   0.02794   0.01261
    92/299     4.76G   0.03155    0.0188  0.001795   0.05215        21       640    0.9212    0.8456    0.9245    0.5323   0.04208   0.02794   0.01241
    93/299     4.76G   0.03165   0.01893  0.001826   0.05241        44       640    0.9133    0.8616    0.9261    0.5297    0.0419   0.02783   0.01241
    94/299     4.76G   0.03145   0.01838  0.001735   0.05156         4       640    0.9131    0.8556    0.9221    0.5337   0.04193   0.02805   0.01251
    95/299     4.76G   0.03128   0.01885  0.001765    0.0519        38       640    0.9075    0.8581    0.9218    0.5326     0.042   0.02772    0.0128
    96/299     4.76G   0.03128   0.01871  0.001747   0.05174        22       640    0.9237    0.8684    0.9317     0.538   0.04204   0.02747   0.01247
    97/299     4.76G   0.03126   0.01882   0.00167   0.05175        24       640    0.9271    0.8586    0.9305    0.5347   0.04226    0.0278   0.01272
    98/299     4.76G   0.03115   0.01858  0.001656   0.05138        13       640    0.9273    0.8655    0.9321    0.5304   0.04236   0.02795   0.01276
    99/299     4.76G    0.0312   0.01868  0.001678   0.05156        35       640    0.9289    0.8578    0.9348    0.5314   0.04253   0.02783   0.01291
   100/299     4.76G   0.03127   0.01894  0.001728   0.05194        10       640    0.9038    0.8777    0.9343    0.5325   0.04212   0.02782   0.01279
   101/299     4.76G   0.03081   0.01856  0.001652   0.05103         6       640    0.8997    0.8678    0.9305    0.5358   0.04164    0.0282   0.01282
   102/299     4.76G   0.03101   0.01861  0.001635   0.05125        70       640    0.8995    0.8663     0.929    0.5313    0.0415   0.02849    0.0129
   103/299     4.76G   0.03088    0.0184   0.00165   0.05093        18       640    0.9115     0.864    0.9327    0.5313   0.04163    0.0284   0.01288
   104/299     4.76G   0.03077   0.01832  0.001666   0.05075        13       640      0.92    0.8684    0.9363    0.5374   0.04175   0.02833   0.01276
   105/299     4.76G   0.03083   0.01875  0.001565   0.05115        16       640    0.9206    0.8714    0.9362    0.5402    0.0415   0.02819   0.01284
   106/299     4.76G   0.03089   0.01871  0.001657   0.05126         4       640     0.928    0.8629    0.9337    0.5397    0.0414   0.02845   0.01273
   107/299     4.76G   0.03067   0.01862  0.001612    0.0509        37       640    0.9421    0.8547    0.9328    0.5417   0.04146   0.02839   0.01258
   108/299     4.76G   0.03065   0.01846  0.001663   0.05078         9       640    0.9248    0.8691    0.9305    0.5447   0.04136   0.02825   0.01272
   109/299     4.76G   0.03073   0.01855  0.001631   0.05091        49       640    0.9266    0.8647    0.9293    0.5462   0.04107   0.02812   0.01301
